model,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_lambda,cv_mean_MAE
XGB,400,4,,,0.06,1.0,0.8,1.0,17.753259913126627
XGB,400,4,,,0.06,0.8,1.0,3.0,17.75913505554199
XGB,800,4,,,0.1,0.8,0.8,3.0,17.762851842244466
XGB,400,4,,,0.1,1.0,1.0,1.0,17.784538650512697
XGB,400,4,,,0.06,0.8,1.0,1.0,17.7958563486735
XGB,800,4,,,0.06,1.0,0.8,1.0,17.803703689575197
XGB,800,4,,,0.1,1.0,1.0,1.0,17.807349904378253
XGB,800,4,,,0.06,0.8,1.0,3.0,17.809554290771484
XGB,400,4,,,0.06,1.0,1.0,3.0,17.816272226969403
XGB,800,4,,,0.06,0.8,1.0,1.0,17.834482192993164
XGB,800,4,,,0.06,1.0,1.0,3.0,17.877485656738283
XGB,400,4,,,0.06,1.0,1.0,1.0,17.92937278747559
XGB,400,4,,,0.1,0.8,1.0,1.0,17.966468429565428
XGB,800,4,,,0.1,0.8,1.0,1.0,17.96860898335775
XGB,800,4,,,0.06,1.0,1.0,1.0,17.97151425679525
XGB,400,4,,,0.1,0.8,1.0,3.0,18.048725255330407
XGB,800,4,,,0.1,0.8,1.0,3.0,18.05302797953288
XGB,400,6,,,0.1,1.0,1.0,1.0,18.105897267659504
XGB,800,6,,,0.1,1.0,1.0,1.0,18.105916341145832
XGB,400,6,,,0.06,1.0,1.0,1.0,18.44948755900065
XGB,800,6,,,0.06,1.0,1.0,1.0,18.450694656372068
